id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,7.6516264817612e-05,0.3499258060352279,0.43890170468901074,0.1320436210282278,4.772889015626193e-15,0.0007718518984060434,0.07827540126602922,1.4751939842168157e-06,3.6236242916552516e-06
2,0.0002321532961262022,1.5790022726008893e-05,3.2469252431996307e-07,3.2616753665899584e-07,1.7251705295427123e-11,0.0005180723405623933,0.0007141980607199051,0.9984842552046617,3.4880197891087196e-05
3,1.4317076116368024e-05,5.8923581781358194e-06,1.1268339874391305e-08,0.5125553100478405,9.20040347551506e-13,0.4825988995527878,0.004722483926262047,6.742584199061544e-05,3.565992756457357e-05
4,0.13400124108663142,0.25640503883529536,0.08816379171317293,0.009045924341444817,0.05238650484816694,0.04239062448980185,0.049919748924959616,0.1168089020432307,0.25087822371729646
5,1.2008901227284369e-06,0.5255792477860944,0.3444979326574232,0.12605691089977702,1.2013180518181782e-12,1.9668565971686416e-05,0.0038431458267603495,1.7510336775214282e-07,1.7182692815315788e-06
6,1.7195160166773588e-06,0.895352355447985,0.09944188882311578,0.003558293378238746,0.001046889801318517,5.695945551866063e-05,0.0004566498551821082,7.93897225118721e-05,5.854000112709157e-06
7,3.442468716737091e-10,0.9032870988935086,0.09147759570302788,0.00523525708870892,5.042010439589943e-09,2.290170257233572e-09,3.7627277833381664e-08,5.606384375494261e-10,2.4504107442807656e-09
8,3.822494999121694e-17,0.9073612613210741,0.04476058694108435,0.047878144767417835,7.28391539940069e-17,1.697498854282067e-13,6.970252056375105e-09,2.303964470342011e-16,1.5666202584386186e-15
9,1.2938689471401485e-07,0.3994370733628111,0.5741319666005468,0.014225906417201043,8.046918036532582e-14,3.500871494149425e-05,0.01216882123744163,1.0576839823500838e-06,3.659610045016087e-08
10,1.498013160576175e-05,0.44673053200388474,0.4759624637610536,0.07385139210009975,0.00014258962442367467,0.0003164106019582988,0.0026840738508177643,0.00012102849047740458,0.00017652943567893166
11,0.15067868964390035,0.00047564679717695485,1.6745183931202012e-05,0.00037798313271499544,1.0737626759052946e-06,0.6243583834880583,0.011181438469903889,0.022216866749129233,0.19069317277250927
12,0.00254576840422227,8.713002111636845e-06,2.022327715146025e-05,1.6572287193153146e-05,5.296200197871075e-12,0.006342523633075381,0.0001762088338770579,0.9828218385774348,0.008068151979638019
13,9.231902328706348e-05,0.6251140630471074,0.35095106502668233,0.0025566829536971037,0.0013844461825598604,0.002825766559617201,0.004682508039381457,0.012357627443697262,3.552172397044142e-05
14,0.002919193044205622,3.2350241434924145e-06,7.423213831678317e-06,3.598575269248384e-09,1.178112642190078e-18,0.007744545324096728,0.028984951890735702,0.9595578663944754,0.0007827815099359335
15,2.4650944303635038e-11,1.4231443891352432e-06,1.0030272969658013e-07,1.2104347569253889e-07,0.9999983550398898,6.392946881977305e-11,1.4803931197251897e-10,1.962536429874952e-10,3.6642453868816254e-11
16,1.488562008884582e-07,0.00013000785390376548,1.1729682979794157e-05,0.0005772849294768635,3.22796644523234e-16,0.19988858799044165,0.7992713506659868,0.000117518382786053,3.371638223703303e-06
17,0.00014740986723042746,0.0007659535158788593,0.0028504998043179432,5.38190023077446e-06,8.779597924665349e-09,0.9865891974357588,0.0017607886854357929,0.003996303183740869,0.003884456827808746
18,0.001276457909601874,0.5596181612142608,0.27825872254501427,0.12257365553536806,0.003663295053638385,0.011863046621370901,0.013979764624514227,0.0027435624736874436,0.006023334022544137
